Front,Back
"Verkle trees","Upgrade: The Verge (stateless clients):contentReference[oaicite:105]{index=105}:contentReference[oaicite:106]{index=106}. Verkle trees use elliptic-curve vector commitments to compress Merkle proofs – each parent-child proof piece is only 32 bytes:contentReference[oaicite:107]{index=107}. They enable *stateless validation*: nodes can verify blocks with only a few hundred KB of proof instead of hundreds of GB of state:contentReference[oaicite:108]{index=108}. This solves state bloat: today a full node needs 1+ TB of state:contentReference[oaicite:109]{index=109}. Verkle trees dramatically reduce proof sizes, making lightweight clients feasible. *Status:* Actively researched (EIPs exist); implemented prototypes in clients. *Challenges:* Vulnerable to quantum attacks (would need replacing later):contentReference[oaicite:110]{index=110} and requires protocol changes (node clients and gas costs)."
"SSZ (SimpleSerialize)","Upgrade: The Purge (data format unification):contentReference[oaicite:111]{index=111}. SSZ is Ethereum’s typed serialization format (used in the beacon chain) that natively supports hashing:contentReference[oaicite:112]{index=112}. It replaces RLP (an untyped legacy encoding) and allows a single unified data structure for consensus and execution state:contentReference[oaicite:113]{index=113}:contentReference[oaicite:114]{index=114}. This simplifies the protocol by making upgrades easier and harmonizing formats (execution state, consensus state, blobs all in one schema):contentReference[oaicite:115]{index=115}. *Solves:* Eliminates RLP complexity and separate commit schemes, enabling easier proofs and coding. *Status:* EIPs (“SSZ-ification”) exist to migrate consensus and execution structures to SSZ:contentReference[oaicite:116]{index=116}. Ongoing development in Purge phase."
"FOCIL (Fork-Choice Enforced Inclusion Lists)",":contentReference[oaicite:117]{index=117}Upgrade: The Scourge (block construction). FOCIL uses a *committee of stakers* who each publish an inclusion list of transactions for the next block:contentReference[oaicite:118]{index=118}. A block builder must include all committee lists. A transaction is delayed only if **all** members censor it, making censorship by builders very hard:contentReference[oaicite:119]{index=119}. *Solves:* Mitigates centralized censorship by block builders (today 2 entities create ~88% of blocks):contentReference[oaicite:120]{index=120}. Returning transaction selection to stakers via inclusion lists prevents single builders from arbitrarily excluding txns:contentReference[oaicite:121]{index=121}:contentReference[oaicite:122]{index=122}. *Status:* Research stage; proposals exist (e.g. EIP-7547 for inclusion lists). Challenges include incentives and coordination of the committee."
"Parallel execution (Native Rollups)","Upgrade: The Surge (execution scaling). Create **N parallel EVM instances** on L1 (“native rollups”):contentReference[oaicite:123]{index=123}. Each copy runs independently (its own state and transactions). This effectively shards execution in software. *Solves:* Increases throughput by parallelizing transaction processing across copies instead of one sequential chain. Theoretically multiplies TPS by N. *Status:* Conceptual; under discussion. Key trade-off: these parallel chains can’t easily interact in one transaction (composability issues):contentReference[oaicite:124]{index=124}:contentReference[oaicite:125]{index=125}. Implementation would require major client/consensus changes."
"Single-slot finality","Upgrade: The Merge (consensus). Finalize each block in **one slot** (~12s) instead of ~15 minutes:contentReference[oaicite:126]{index=126}. Achieving this with 100% validator signing (economic finality) normally causes high overhead. Proposals (e.g. enhanced signature aggregation or hybrid committees) aim to solve that conflict:contentReference[oaicite:127]{index=127}. *Solves:* Speeds up finality so users’ txns are irreversible within seconds:contentReference[oaicite:128]{index=128} and enables 1 ETH staking (down from 32 ETH) for more solo stakers:contentReference[oaicite:129]{index=129}:contentReference[oaicite:130]{index=130}. *Status:* Research/proposals exist (e.g. Horn aggregation, “Orbit SSF” committees):contentReference[oaicite:131]{index=131}. Challenge: handling millions of signatures each slot without massive node overhead."
"Single Secret Leader Election (SSLE)","Upgrade: The Merge (consensus). **Hides the next block proposer** until block time:contentReference[oaicite:132]{index=132}:contentReference[oaicite:133]{index=133}. Validators use cryptographic blinding (shuffle/blinded IDs) so the chosen proposer can prove its right to produce the block, but others cannot identify the proposer in advance:contentReference[oaicite:134]{index=134}. *Solves:* Prevents targeted DoS attacks on proposers (today the next proposer is known in advance):contentReference[oaicite:135]{index=135}. *Status:* Experimental; proposals like “Whisk” mixnets or ring-signature schemes exist:contentReference[oaicite:136]{index=136}. Challenges: added cryptographic complexity and spec code; must be simple enough for mainnet."
"Attester–Proposer Separation (APS)","Upgrade: The Scourge (block construction). A variant of proposer-builder separation: a block builder handles the entire slot (including transaction selection), while the validator (“proposer”) only signs the block:contentReference[oaicite:137]{index=137}. This removes any transaction-selection role from the validator. *Solves:* Further decouples validators from builders and reduces collocation incentives:contentReference[oaicite:138]{index=138}. *Status:* Active research; APS is preferred over PBS because it makes validators pure “dumb pipes.” Implementation would require redesigning the block pipeline. It would apply only to execution blocks, with consensus blocks assigned normally:contentReference[oaicite:139]{index=139}."
"EVM Object Format (EOF)","Upgrade: The Splurge (EVM improvements). A new bytecode container format for smart contracts:contentReference[oaicite:140]{index=140}. EOF separates code and data sections, forbids dynamic jumps, and introduces new opcodes (e.g. CALLDATASIZE). *Solves:* Enables efficient static analysis and optimization of EVM code:contentReference[oaicite:141]{index=141}:contentReference[oaicite:142]{index=142}. Code becomes simpler to analyze (improving safety and optimizer performance) and easier to extend (e.g. add new features). *Status:* READY – already implemented in client software; toggled on in future hard fork. There are no downsides for old code as legacy contracts remain unaffected."
"EVM-MAX (Modular Arithmetic Extensions)","Upgrade: The Splurge (EVM improvements). Adds new opcodes for efficient big-integer arithmetic (e.g. Montgomery multiplication):contentReference[oaicite:143]{index=143}. *Solves:* Speeds up cryptographic operations (hashes, signatures, zero-knowledge proofs) on EVM by offering built-in modular math. Reduces gas for these common heavy ops. *Status:* Proposed via EIPs (e.g. EIP-6601). Under development and to be deployed with upcoming hard fork."
"SIMD (Single Instruction, Multiple Data)","Upgrade: The Splurge (EVM improvements). Introduces vectorized instructions that operate on multiple data lanes simultaneously:contentReference[oaicite:144]{index=144}. For example, one instruction could run the same operation on an array of values. *Solves:* Greatly accelerates parallelizable computations (e.g. cryptography loops) by leveraging parallelism inside the EVM. Particularly useful for verifier-heavy workloads (e.g. rollup proof checks). *Status:* Proposed (e.g. EIP-616); under research. Complexity in the EVM spec is manageable, and gains are high."
"Account Abstraction","Upgrade: The Splurge (account model). Turns Ethereum accounts into smart contracts by default:contentReference[oaicite:145]{index=145}. Each account could define its own signing and transaction validation logic. *Solves:* Enables more secure and flexible account types (multi-sig wallets, account recovery, pay-gas-with-token, etc.) natively at the protocol level. *Status:* Already partly deployed via EIP-4337 (Layer 2). A consensus-layer version is planned in Splurge. Challenges: must ensure new flexibility doesn’t break old contracts."
"Fee Market Improvements","Upgrade: The Splurge (fee economics). Examples include *“tip cap”* (a limit on the priority fee to curb crazy bidding) and dynamic issuance curves (VRGDA) for adjusting ETH issuance relative to fee demand:contentReference[oaicite:146]{index=146}. *Solves:* Stabilizes transaction fees by preventing runaway tips and tuning issuance to demand. The goal is better UX (fewer spikes) and sustainable inflation. *Status:* Design stage; proposals exist. Will be gradual updates with safety bounds (backward compatible):contentReference[oaicite:147]{index=147}."
