Front,Back
"Verkle Trees","**Upgrade: The Verge (Stateless Clients)**

A tree structure using elliptic curve-based vector commitments that enables much more compact proofs compared to current Merkle Patricia trees.

**Problem it solves:**
• Reduces proof sizes from potentially 300MB to a few hundred kilobytes
• Enables stateless validation - nodes can verify blocks without storing entire state
• Solves state bloat (full nodes currently need 1+ TB of state)
• Makes lightweight clients feasible on mobile devices

**Current status:** Code is fairly mature with reference implementations existing. Challenges include quantum vulnerability concerns and complex implementation with SNARKs due to 256-bit operations.

**Technical details:** Uses elliptic-curve vector commitments where each parent-child proof is only 32 bytes, enabling mobile verification with just a few hundred KB of proof instead of hundreds of GB of state."

"SSZ (SimpleSerialize)","**Upgrade: The Purge (Data Format Unification)**

Ethereum's typed serialization format that natively supports hashing and Merkleization, replacing the legacy RLP encoding.

**Problem it solves:**
• Eliminates RLP complexity and ambiguity in encoding
• Enables single unified data structure for consensus and execution state
• Simplifies the protocol by making upgrades easier
• Reduces consensus bugs and makes Merkle proofs trivial to compute

**Current status:** Already live in the Beacon Chain, with work continuing on SSZ for execution-layer objects. EIPs exist for ""SSZ-ification"" to migrate consensus and execution structures.

**Technical details:** Uses fixed-length offsets for deterministic hashing, providing cleaner and more efficient serialization with better developer experience."

"FOCIL (Fork-Choice-Enforced Inclusion Lists)","**Upgrade: The Scourge (Block Construction)**

A mechanism where a committee of validators creates mandatory inclusion lists of transactions that block builders must include to prevent censorship.

**Problem it solves:**
• Mitigates centralized censorship by block builders (currently 2 entities create ~88% of blocks)
• Ensures censorship resistance by requiring builders to include committee-specified transactions
• Returns transaction selection power to stakers via inclusion lists

**Current status:** EIP-7805 in development with proposals like EIP-7547 for inclusion lists. Challenges include optimizing for blob transactions and making it stateless-validator friendly.

**Technical details:** Uses committee of stakers who publish inclusion lists; a transaction is delayed only if ALL members censor it, making censorship very difficult."

"Data Availability Sampling (DAS)","**Upgrade: The Surge (Scaling)**

A technique that allows nodes to verify data availability efficiently without downloading all data by sampling random portions and using statistical proofs.

**Problem it solves:**
• Enables higher transaction throughput by allowing verification without storing entire datasets
• Critical for scaling to 100k+ TPS
• Allows cheap validation by removing requirement to download entire blobs

**Current status:** PeerDAS implementation in development and testing phase. Challenges include safety property formalization and network testing under heavy load.

**Technical details:** Light client technique where nodes randomly sample small pieces of blob data to probabilistically confirm full availability."

"PeerDAS (Peer Data Availability Sampling)","**Upgrade: The Surge (Network Scaling)**

A specific implementation of 1D data availability sampling using battle-tested P2P network components to distribute and verify blob data across multiple subnets.

**Problem it solves:**
• Increases blob count target from 3 to 16, providing 463-926 TPS capacity for rollups
• Reduces gossip overhead while ensuring DA sampling coverage
• Enables massive data availability (potentially 58,000 TPS at 16 MB/slot)

**Current status:** Immediate next step in Ethereum roadmap, spec draft under review. Challenge is progressive scaling while maintaining network safety.

**Technical details:** Each blob is coded into many pieces with erasure codes; nodes sample random pieces across different subnets."

"Blobs (EIP-4844)","**Upgrade: The Surge (Activated 2024)**

Temporary data storage mechanism (~125 kB per slot) introduced in Dencun upgrade, providing dedicated data availability bandwidth for rollups.

**Problem it solves:**
• Dramatically increases L1 data bandwidth (from ~375kB/12s to much higher capacity)
• Provides much cheaper data availability for rollups compared to calldata
• Enables rollups to post significantly more data per block

**Current status:** Live since March 2024 with 3 blobs per slot, increasing to 6 in Pectra upgrade. Target is scaling to 16 MB per slot with full danksharding.

**Technical details:** Large data objects committed on-chain via KZG but not executed, with separate pricing mechanism independent of regular gas fees."

"Account Abstraction","**Upgrade: The Splurge (Account Model)**

Makes Ethereum accounts more programmable by turning them into smart contracts by default, enabling custom signing and transaction validation logic.

**Problem it solves:**
• Enables secure and flexible account types (multi-sig wallets, account recovery, pay-gas-with-token)
• Improves user experience with features like social recovery and sponsor fees
• Reduces wallet fragmentation by enabling custom auth schemes

**Current status:** ERC-4337 deployed March 2023 and live on mainnet via bundlers. EIP-7702 included in Pectra upgrade. Challenge is adoption and standardization.

**Technical details:** Smart-contract-level implementation using separate mempool and ""bundler"" relayers to deploy without consensus-layer changes."

"Single-Slot Finality (SSF)","**Upgrade: The Merge (Consensus)**

Mechanism to finalize transactions in a single slot (12 seconds) rather than requiring multiple epochs (~15 minutes).

**Problem it solves:**
• Dramatically reduces transaction confirmation time from 15 minutes to 12 seconds
• Improves user experience with faster finality
• Enables 1 ETH staking (down from 32 ETH) for more solo stakers

**Current status:** Active research with multiple approaches (Orbit SSF, brute force). Challenge is managing signatures from 500k+ validators without massive node overhead.

**Technical details:** Uses enhanced signature aggregation or hybrid committees to achieve economic finality with 100% validator participation."

"Stateless Clients","**Upgrade: The Verge (Validation Model)**

Blockchain nodes that can verify blocks without storing the entire Ethereum state, using cryptographic witnesses instead.

**Problem it solves:**
• Reduces storage requirements from hundreds of gigabytes to a few gigabytes
• Enables mobile device validation and hobbyist hardware participation
• Complements Verkle trees for efficient verification

**Current status:** Requires Verkle tree migration and efficient witness propagation. Under active development requiring fundamental protocol changes.

**Technical details:** Each block comes with witness proofs of the state slots accessed, containing subset of state data needed for verification."

"KZG Commitments","**Upgrade: The Surge/Verge (Cryptographic Primitive)**

Polynomial commitment scheme using pairings on BLS12-381 elliptic curves to enable succinct proofs for large data verification.

**Problem it solves:**
• Enables validators to verify large data blobs with compact 48-byte proofs
• Allows very large data (hundreds of KB) to be posted with short on-chain commitments
• Vital for data availability sampling in danksharding

**Current status:** Already in use for EIP-4844 blobs, cryptographic audits completed with trusted setup ceremony finished. Challenges include trusted setup requirements.

**Technical details:** Uses Kate commitments with polynomial evaluation proofs, providing succinct DA proofs for blobs and Verkle tree openings."

"Proposer-Builder Separation (PBS)","**Upgrade: The Scourge (Block Construction)**

Architecture separating block proposal rights from block construction, allowing specialized builders to optimize blocks while validators just sign.

**Problem it solves:**
• Originally intended to democratize MEV access while keeping validators simple
• Mitigates MEV centralization by shifting complexity away from validators
• Decouples validators from transaction selection and MEV extraction

**Current status:** Implemented via MEVBoost with 39% of blocks using Flashbots relay, but has led to centralization concerns. Enshrined PBS spec drafted.

**Technical details:** Division of labor where specialized builders assemble blocks and proposers pick the highest-value bid through auction mechanism."

"MEV (Maximal Extractable Value)","**Upgrade: The Scourge (Economic Security)**

Revenue extracted from on-chain transactions through reordering, insertion, and selection, including DEX arbitrage and sandwich attacks.

**Problem it solves:**
• The Scourge proposes making MEV revenue transparent and capturing it at protocol level
• Aims to reduce centralization caused by MEV extraction
• Addresses unstable income distribution (MEV represents 24% of validator rewards)

**Current status:** Active issue causing centralization concerns. Research on MEV burn mechanisms and inclusion lists to neutralize centralization incentives.

**Technical details:** Various forms including arbitrage, sandwich attacks, and liquidations that can be captured by block builders and validators."

"EOF (EVM Object Format)","**Upgrade: The Splurge (EVM Improvements)**

New bytecode container format for smart contracts that separates code and data sections, forbids dynamic jumps, and introduces new opcodes.

**Problem it solves:**
• Enables efficient static analysis and optimization of EVM code
• Reduces gas costs for specific operations
• Makes code simpler to analyze and easier to extend with new features

**Current status:** EOF-v1 merged in Cancun testnets with development ongoing. Challenge is transition complexity and backward compatibility.

**Technical details:** Binary container with sections (code, data, metadata) and prohibited self-modifying opcodes, similar to ELF file format."

"Danksharding","**Upgrade: The Surge (Full Sharding)**

Final sharding design with 64+ data rows sampled via DAS and single proposer, providing massive data availability for rollups.

**Problem it solves:**
• Scales Ethereum to 100,000+ TPS by providing >1 MB/s DA bandwidth
• Enables thousands of rollup TPS through massive data availability
• Merged fee market where single proposer selects all transactions and data

**Current status:** Proto-Danksharding (EIP-4844) completed, full implementation in research phase. Challenge is maintaining decentralization at scale.

**Technical details:** Grid of data rows with random sampling paths, using KZG commitments for efficient data availability proofs."

"Encrypted Mempool","**Upgrade: The Scourge (Privacy)**

Privacy-preserving transaction pool where transaction contents are hidden until block inclusion using threshold or delay decryption.

**Problem it solves:**
• Prevents front-running and unfair MEV by hiding transactions from builders
• Essential for BRAID and other multi-proposer schemes
• Stops strategy-stealing attacks in multi-proposer systems

**Current status:** Under active research requiring robust and simple design. Two main approaches: threshold decryption and VDF-based delay.

**Technical details:** Transactions broadcast with validity proofs but encrypted contents, revealed after block ordering is determined."

"Verkle Witnesses","**Upgrade: The Verge (Stateless Validation)**

Cryptographic proofs containing the subset of state data needed to verify a block, enabling stateless validation.

**Problem it solves:**
• Allows stateless nodes to validate blocks without holding full state
• Enables bandwidth-efficient verification with compressed proofs
• Critical component for mobile and lightweight client support

**Current status:** Specification in progress via EIP-4762. Challenges include witness size optimization and verification overhead.

**Technical details:** Serialized payloads containing commitments, branch indices, and KZG proofs for state access, typically a few hundred KB."

"History Expiry (EIP-4444)","**Upgrade: The Purge (Storage Optimization)**

Removes historical data storage requirements from nodes, keeping only approximately 365 days of blockchain history.

**Problem it solves:**
• Reduces node storage requirements and sync times
• Prevents unbounded disk growth (~7 TB savings over a decade)
• Makes it easier to run Ethereum nodes

**Current status:** Ready for implementation, requires network protocol version update. Challenge is ensuring distributed storage solution through Portal Network.

**Technical details:** Prunes historical beacon and execution data older than one year, with archival storage handled by specialized nodes."

"State Expiry","**Upgrade: The Purge (Future Research)**

Automatically expires infrequently accessed state data using various designs like partial state expiry or address-period expiry.

**Problem it solves:**
• Prevents Ethereum state from growing indefinitely (~50 GB/year)
• Enables revival of expired data when needed through cryptographic proofs
• Maintains access to historical state while reducing storage requirements

**Current status:** Experimental research phase (EIP-7736 partial expiry). Very complex and still unsolved at scale.

**Technical details:** Various designs including splitting state into chunks or address-based expiry, with cryptographic proofs for data revival."

"Native Rollups","**Upgrade: The Surge (Parallel Execution)**

Creating multiple parallel instances of the EVM with flexible parameters, essentially built-in Layer 2 scaling at the protocol level.

**Problem it solves:**
• Enables L1 scaling through parallelization without breaking composability
• Increases throughput by parallelizing transaction processing
• Theoretically multiplies TPS by N parallel instances

**Current status:** Conceptual/research phase. Major challenge is maintaining security and decentralization while scaling. Implementation requires major client changes.

**Technical details:** Multiple parallel EVM instances on L1, each with independent state and transaction processing capabilities."

"Light Clients","**Upgrade: Cross-Stage (Accessibility)**

Minimal nodes that can verify blockchain state without downloading full blocks or state data, using sync committees and DAS.

**Problem it solves:**
• Enables verification on resource-constrained devices like mobile phones
• Provides secure verification without full node requirements
• Makes blockchain accessible to IoT devices and browsers

**Current status:** Supported by sync committees post-Merge, with Portal Network research in progress. Challenge is reducing proof sizes further.

**Technical details:** Track only headers and perform DAS to verify availability, using cryptographic proofs for state validation."

"Quantum Resistance","**Upgrade: The Splurge (Long-term Security)**

Preparing Ethereum's cryptographic primitives for protection against quantum computer attacks through post-quantum cryptography.

**Problem it solves:**
• Ensures long-term security against future quantum computing threats
• Protects against vulnerabilities in current elliptic curve cryptography
• Maintains blockchain integrity in post-quantum era

**Current status:** Research phase with explicit integration planned across upgrade categories. Challenge is balancing performance with security trade-offs.

**Technical details:** Migration from current cryptographic primitives to quantum-resistant alternatives like STARKs and post-quantum signature schemes."

"Cross-L2 Interoperability","**Upgrade: The Surge (Ecosystem Unity)**

Standardized protocols enabling seamless interaction between different Layer 2 solutions, creating unified user experience.

**Problem it solves:**
• Addresses fragmentation across the Layer 2 ecosystem
• Makes Ethereum feel like one unified system rather than separate chains
• Enables efficient cross-chain transactions and asset transfers

**Current status:** Various protocols in development (ERC-7683, RIP-7755). Challenges include standardization and user experience optimization.

**Technical details:** Standardized bridging protocols and message passing systems to enable L2-to-L2 communication."

